"TimeCreated","RecordId","EventId","Channel","Provider","Level","Computer","UserSid","EventData","Message"
"2026-08-02T11:23:55.564Z","73880","98","System","Microsoft-Windows-Ntfs","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""CorruptionActionState"":""0"",""DeviceName"":""\\Device\\HarddiskVolume17"",""DriveName"":""F:""}","Volume F: (\Device\HarddiskVolume17) is healthy.  No action is needed."
"2026-08-02T11:23:54.602Z","73879","98","System","Microsoft-Windows-Ntfs","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""CorruptionActionState"":""0"",""DeviceName"":""\\Device\\HarddiskVolume16"",""DriveName"":""E:""}","Volume E: (\Device\HarddiskVolume16) is healthy.  No action is needed."
"2026-08-02T11:04:09.668Z","73878","2","System","Microsoft-Windows-IsolatedUserMode","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""Status"":""0"",""TrustletIdentity"":""4"",""NormalProcessId"":""5896""}","Secure Trustlet Id 4 and Pid 5896 stopped with status STATUS_SUCCESS."
"2026-08-02T11:02:48.856Z","73877","16","System","Microsoft-Windows-Kernel-General","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""HiveName"":""\\??\\C:\\ProgramData\\Packages\\Microsoft.WindowsNotepad_8wekyb3d8bbwe\\S-1-5-21-3119828605-3733597828-3599172180-1001\\SystemAppData\\Helium\\Cache\\adbf8ca38e4c3201_COM15.dat"",""DirtyPages"":""1"",""HiveNameLength"":""167"",""KeysUpdated"":""1""}","The access history in hive \??\C:\ProgramData\Packages\Microsoft.WindowsNotepad_8wekyb3d8bbwe\S-1-5-21-3119828605-3733597828-3599172180-1001\SystemAppData\Helium\Cache\adbf8ca38e4c3201_COM15.dat was cleared updating 1 keys and creating 1 modified pages."
"2026-08-02T11:02:48.853Z","73876","16","System","Microsoft-Windows-Kernel-General","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""HiveName"":""\\??\\C:\\Users\\yaswa\\AppData\\Local\\Packages\\Microsoft.WindowsNotepad_8wekyb3d8bbwe\\SystemAppData\\Helium\\UserClasses.dat"",""DirtyPages"":""2"",""HiveNameLength"":""117"",""KeysUpdated"":""6""}","The access history in hive \??\C:\Users\yaswa\AppData\Local\Packages\Microsoft.WindowsNotepad_8wekyb3d8bbwe\SystemAppData\Helium\UserClasses.dat was cleared updating 6 keys and creating 2 modified pages."
"2026-08-02T11:02:48.851Z","73875","16","System","Microsoft-Windows-Kernel-General","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""HiveName"":""\\??\\C:\\Users\\yaswa\\AppData\\Local\\Packages\\Microsoft.WindowsNotepad_8wekyb3d8bbwe\\SystemAppData\\Helium\\User.dat"",""DirtyPages"":""2"",""HiveNameLength"":""110"",""KeysUpdated"":""12""}","The access history in hive \??\C:\Users\yaswa\AppData\Local\Packages\Microsoft.WindowsNotepad_8wekyb3d8bbwe\SystemAppData\Helium\User.dat was cleared updating 12 keys and creating 2 modified pages."
"2026-08-02T11:00:00.162Z","73874","6013","System","EventLog","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""","""",""""]}","The system uptime is 608579 seconds."
"2026-08-02T10:56:38.772Z","73873","566","System","Microsoft-Windows-Kernel-Power","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""BootId"":""57"",""Reason"":""32"",""MonitorReason"":""32"",""NextSessionId"":""177"",""PowerStateAc"":""true"",""PreviousSessionDurationInUs"":""439752926"",""PreviousSessionId"":""176"",""PreviousFullEnergyCapacityAtStart"":""50640"",""PreviousEnergyCapacityAtStart"":""49950"",""PreviousFullEnergyCapacityAtEnd"":""50640"",""NextSessionType"":""0"",""PreviousSessionType"":""2"",""PreviousEnergyCapacityAtEnd"":""49950""}","The system session has transitioned from 176 to 177.  Reason InputHid   BootId: 57"
"2026-08-02T10:56:38.772Z","73872","507","System","Microsoft-Windows-Kernel-Power","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""NonDripsTimeActivatedInUs"":""3952481979"",""ScreenOffEnergyCapacityAtStart"":""49970"",""IsCsSessionInProgressOnExit"":""false"",""NonResiliencyTimeInUs"":""18446744069821279010"",""ActiveResidencyInUs"":""454860258"",""ScreenOffFullEnergyCapacityAtStart"":""50640"",""FullChargeCapacityRatio"":""96"",""SleepEntered"":""true"",""ScreenOffHwDripsResidencyInUs"":""0"",""GdiOnTime"":""0"",""EnergyDrain"":""158"",""Reason"":""32"",""SleepFullEnergyCapacityAtEnd"":""50640"",""ExitLatencyInUs"":""88108"",""SleepDurationInUs"":""439752926"",""DisconnectedStandby"":""false"",""AudioPlaybackInUs"":""0"",""ScreenOffFullEnergyCapacityAtEnd"":""50640"",""ExternalMonitorConnectedState"":""true"",""AoAcCompliantNic"":""true"",""FirstDripsEntryInUs"":""0"",""SleepEnergyCapacityAtStart"":""49950"",""BatteryFullChargeCapacityOnExit"":""50640"",""ScenarioInstanceId"":""177"",""SleepHwDripsResidencyInUs"":""0"",""NonActivatedCpuInUs"":""16201282"",""ScreenOffDurationInUs"":""15106560"",""InputSuppressionActionCount"":""0"",""AudioPlaying"":""false"",""PowerStateAc"":""true"",""ScenarioInstanceIdV2"":""175"",""ResiliencyDripsTimeInUs"":""0"",""ResiliencyHwDripsTimeInUs"":""0"",""ScreenOffSwDripsResidencyInUs"":""0"",""DripsResidencyInUs"":""0"",""DwmSyncFlushTime"":""0"",""ModernSleepAppliedActionsBitmask"":""0"",""BatteryRemainingCapacityOnExit"":""49950"",""ScreenOffEnergyCapacityAtEnd"":""49950"",""PowerButtonSuppressionActionCount"":""0"",""DripsTransitions"":""0"",""HwDripsResidencyInUs"":""0"",""ModernSleepEnabledActionsBitmask"":""7"",""BootId"":""57"",""SleepSwDripsResidencyInUs"":""0"",""DurationInUs"":""454860258"",""SleepEnergyCapacityAtEnd"":""49950"",""PowerSchemeInfo"":""4"",""NonAttributedCpuInUs"":""0"",""SleepFullEnergyCapacityAtStart"":""50640"",""MonitorPowerOnTime"":""71942"",""LidOpenState"":""false""}","The system is exiting Modern Standby   Reason: Input Mouse."
"2026-08-02T10:49:19.021Z","73871","566","System","Microsoft-Windows-Kernel-Power","Information","LAPTOP-8SM7PKPU","S-1-5-18","{""BootId"":""57"",""Reason"":""12"",""MonitorReason"":""12"",""NextSessionId"":""176"",""PowerStateAc"":""true"",""PreviousSessionDurationInUs"":""15106560"",""PreviousSessionId"":""175"",""PreviousFullEnergyCapacityAtStart"":""50640"",""PreviousEnergyCapacityAtStart"":""49970"",""PreviousFullEnergyCapacityAtEnd"":""50640"",""NextSessionType"":""2"",""PreviousSessionType"":""1"",""PreviousEnergyCapacityAtEnd"":""49950""}","The system session has transitioned from 175 to 176.  Reason SessionUnlock   BootId: 57"
