"TimeCreated","RecordId","EventId","Channel","Provider","Level","Computer","UserSid","EventData","Message"
"2026-08-02T11:23:25.790Z","6634","400","Windows PowerShell","PowerShell","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""","""",""""]}","Engine state is changed from None to Available.   Details:  	NewEngineState=Available 	PreviousEngineState=None  	SequenceNumber=13  	HostName=ConsoleHost 	HostVersion=5.1.26100.8875 	HostId=2722ff80-3e54-4cba-99b7-a898a594c429 	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\yaswa\AppData\Local\Programs\Microsoft VS Code\e4c7e7b1d6\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {} 	EngineVersion=5.1.26100.8875 	RunspaceId=9a98089f-5a2c-4435-80f9-9edc9f735a8a 	PipelineId= 	CommandName= 	CommandType= 	ScriptName= 	CommandPath= 	CommandLine="
"2026-08-02T11:23:25.783Z","6633","600","Windows PowerShell","PowerShell","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""","""",""""]}","Provider ""Variable"" is Started.   Details:  	ProviderName=Variable 	NewProviderState=Started  	SequenceNumber=11  	HostName=ConsoleHost 	HostVersion=5.1.26100.8875 	HostId=2722ff80-3e54-4cba-99b7-a898a594c429 	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\yaswa\AppData\Local\Programs\Microsoft VS Code\e4c7e7b1d6\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {} 	EngineVersion= 	RunspaceId= 	PipelineId= 	CommandName= 	CommandType= 	ScriptName= 	CommandPath= 	CommandLine="
"2026-08-02T11:23:25.783Z","6632","600","Windows PowerShell","PowerShell","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""","""",""""]}","Provider ""Function"" is Started.   Details:  	ProviderName=Function 	NewProviderState=Started  	SequenceNumber=9  	HostName=ConsoleHost 	HostVersion=5.1.26100.8875 	HostId=2722ff80-3e54-4cba-99b7-a898a594c429 	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\yaswa\AppData\Local\Programs\Microsoft VS Code\e4c7e7b1d6\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {} 	EngineVersion= 	RunspaceId= 	PipelineId= 	CommandName= 	CommandType= 	ScriptName= 	CommandPath= 	CommandLine="
"2026-08-02T11:23:25.783Z","6631","600","Windows PowerShell","PowerShell","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""","""",""""]}","Provider ""FileSystem"" is Started.   Details:  	ProviderName=FileSystem 	NewProviderState=Started  	SequenceNumber=7  	HostName=ConsoleHost 	HostVersion=5.1.26100.8875 	HostId=2722ff80-3e54-4cba-99b7-a898a594c429 	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\yaswa\AppData\Local\Programs\Microsoft VS Code\e4c7e7b1d6\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {} 	EngineVersion= 	RunspaceId= 	PipelineId= 	CommandName= 	CommandType= 	ScriptName= 	CommandPath= 	CommandLine="
"2026-08-02T11:23:25.782Z","6630","600","Windows PowerShell","PowerShell","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""","""",""""]}","Provider ""Environment"" is Started.   Details:  	ProviderName=Environment 	NewProviderState=Started  	SequenceNumber=5  	HostName=ConsoleHost 	HostVersion=5.1.26100.8875 	HostId=2722ff80-3e54-4cba-99b7-a898a594c429 	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\yaswa\AppData\Local\Programs\Microsoft VS Code\e4c7e7b1d6\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {} 	EngineVersion= 	RunspaceId= 	PipelineId= 	CommandName= 	CommandType= 	ScriptName= 	CommandPath= 	CommandLine="
"2026-08-02T11:23:25.782Z","6629","600","Windows PowerShell","PowerShell","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""","""",""""]}","Provider ""Alias"" is Started.   Details:  	ProviderName=Alias 	NewProviderState=Started  	SequenceNumber=3  	HostName=ConsoleHost 	HostVersion=5.1.26100.8875 	HostId=2722ff80-3e54-4cba-99b7-a898a594c429 	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\yaswa\AppData\Local\Programs\Microsoft VS Code\e4c7e7b1d6\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {} 	EngineVersion= 	RunspaceId= 	PipelineId= 	CommandName= 	CommandType= 	ScriptName= 	CommandPath= 	CommandLine="
"2026-08-02T11:23:25.781Z","6628","600","Windows PowerShell","PowerShell","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""","""",""""]}","Provider ""Registry"" is Started.   Details:  	ProviderName=Registry 	NewProviderState=Started  	SequenceNumber=1  	HostName=ConsoleHost 	HostVersion=5.1.26100.8875 	HostId=2722ff80-3e54-4cba-99b7-a898a594c429 	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\yaswa\AppData\Local\Programs\Microsoft VS Code\e4c7e7b1d6\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {} 	EngineVersion= 	RunspaceId= 	PipelineId= 	CommandName= 	CommandType= 	ScriptName= 	CommandPath= 	CommandLine="
"2026-08-02T11:23:18.062Z","6627","400","Windows PowerShell","PowerShell","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""","""",""""]}","Engine state is changed from None to Available.   Details:  	NewEngineState=Available 	PreviousEngineState=None  	SequenceNumber=13  	HostName=ConsoleHost 	HostVersion=5.1.26100.8875 	HostId=16b81f50-c514-4b74-a655-83427d07824c 	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\yaswa\AppData\Local\Programs\Microsoft VS Code\e4c7e7b1d6\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {} 	EngineVersion=5.1.26100.8875 	RunspaceId=2f37c399-f0e4-473a-a47b-99087d13fee3 	PipelineId= 	CommandName= 	CommandType= 	ScriptName= 	CommandPath= 	CommandLine="
"2026-08-02T11:23:18.056Z","6626","600","Windows PowerShell","PowerShell","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""","""",""""]}","Provider ""Variable"" is Started.   Details:  	ProviderName=Variable 	NewProviderState=Started  	SequenceNumber=11  	HostName=ConsoleHost 	HostVersion=5.1.26100.8875 	HostId=16b81f50-c514-4b74-a655-83427d07824c 	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\yaswa\AppData\Local\Programs\Microsoft VS Code\e4c7e7b1d6\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {} 	EngineVersion= 	RunspaceId= 	PipelineId= 	CommandName= 	CommandType= 	ScriptName= 	CommandPath= 	CommandLine="
"2026-08-02T11:23:18.056Z","6625","600","Windows PowerShell","PowerShell","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""","""",""""]}","Provider ""Function"" is Started.   Details:  	ProviderName=Function 	NewProviderState=Started  	SequenceNumber=9  	HostName=ConsoleHost 	HostVersion=5.1.26100.8875 	HostId=16b81f50-c514-4b74-a655-83427d07824c 	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\yaswa\AppData\Local\Programs\Microsoft VS Code\e4c7e7b1d6\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {} 	EngineVersion= 	RunspaceId= 	PipelineId= 	CommandName= 	CommandType= 	ScriptName= 	CommandPath= 	CommandLine="
"2026-08-02T11:23:18.056Z","6624","600","Windows PowerShell","PowerShell","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""","""",""""]}","Provider ""FileSystem"" is Started.   Details:  	ProviderName=FileSystem 	NewProviderState=Started  	SequenceNumber=7  	HostName=ConsoleHost 	HostVersion=5.1.26100.8875 	HostId=16b81f50-c514-4b74-a655-83427d07824c 	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\yaswa\AppData\Local\Programs\Microsoft VS Code\e4c7e7b1d6\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {} 	EngineVersion= 	RunspaceId= 	PipelineId= 	CommandName= 	CommandType= 	ScriptName= 	CommandPath= 	CommandLine="
