"TimeCreated","RecordId","EventId","Channel","Provider","Level","Computer","UserSid","EventData","Message"
"2026-08-06T09:18:18","27545","8224","Application","VSS","Information","LAPTOP-8SM7PKPU",,"{}","The VSS service is shutting down due to idle timeout. "
"2026-08-06T09:16:50","27544","16384","Application","Microsoft-Windows-Security-SPP","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""",""""]}","Successfully scheduled Software Protection service for re-start at 2126-07-13T09:16:50Z. Reason: RulesEngine."
"2026-08-06T09:16:43","27543","15","Application","SecurityCenter","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""",""""]}","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"2026-08-06T09:16:41","27542","15","Application","SecurityCenter","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""",""""]}","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"2026-08-06T09:16:39","27541","15","Application","SecurityCenter","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""",""""]}","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"2026-08-06T09:16:37","27540","15","Application","SecurityCenter","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""",""""]}","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"2026-08-06T09:16:35","27539","15","Application","SecurityCenter","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""",""""]}","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"2026-08-06T09:16:32","27538","15","Application","SecurityCenter","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""",""""]}","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"2026-08-06T09:15:39","27537","258","Application","Microsoft-Windows-Defrag","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""",""""]}","The storage optimiser successfully completed defragmentation on New Volume (D:)"
"2026-08-06T09:15:39","27536","258","Application","Microsoft-Windows-Defrag","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""",""""]}","The storage optimiser successfully completed re-trim on New Volume (D:)"
"2026-08-06T09:15:35","27535","15","Application","SecurityCenter","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""",""""]}","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"2026-08-06T09:15:33","27534","15","Application","SecurityCenter","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""",""""]}","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"2026-08-06T09:15:33","27533","258","Application","Microsoft-Windows-Defrag","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""",""""]}","The storage optimiser successfully completed defragmentation on Windows (C:)"
"2026-08-06T09:15:33","27532","258","Application","Microsoft-Windows-Defrag","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""",""""]}","The storage optimiser successfully completed re-trim on Windows (C:)"
"2026-08-06T09:15:22","27531","2562","Application","Microsoft-Windows-AppXDeploymentServer/Operational",,"LAPTOP-8SM7PKPU",,"{""Data"":["""","""","""",""""]}",""
"2026-08-06T09:15:22","27530","2562","Application","Microsoft-Windows-AppXDeploymentServer/Operational",,"LAPTOP-8SM7PKPU",,"{""Data"":["""","""","""",""""]}",""
"2026-08-06T09:15:22","27529","2562","Application","Microsoft-Windows-AppXDeploymentServer/Operational",,"LAPTOP-8SM7PKPU",,"{""Data"":["""","""","""",""""]}",""
"2026-08-06T09:15:22","27528","2562","Application","Microsoft-Windows-AppXDeploymentServer/Operational",,"LAPTOP-8SM7PKPU",,"{""Data"":["""","""","""",""""]}",""
"2026-08-06T09:15:22","27527","2562","Application","Microsoft-Windows-AppXDeploymentServer/Operational",,"LAPTOP-8SM7PKPU",,"{""Data"":["""","""","""",""""]}",""
"2026-08-06T09:15:22","27526","2562","Application","Microsoft-Windows-AppXDeploymentServer/Operational",,"LAPTOP-8SM7PKPU",,"{""Data"":["""","""","""",""""]}",""
"2026-08-06T09:15:22","27525","2562","Application","Microsoft-Windows-AppXDeploymentServer/Operational",,"LAPTOP-8SM7PKPU",,"{""Data"":["""","""","""",""""]}",""
"2026-08-06T09:15:22","27524","2562","Application","Microsoft-Windows-AppXDeploymentServer/Operational",,"LAPTOP-8SM7PKPU",,"{""Data"":["""","""","""",""""]}",""
"2026-08-06T09:15:22","27523","2562","Application","Microsoft-Windows-AppXDeploymentServer/Operational",,"LAPTOP-8SM7PKPU",,"{""Data"":["""","""","""",""""]}",""
"2026-08-06T09:15:18","27522","8216","Application","System Restore","Information","LAPTOP-8SM7PKPU",,"{""Data"":["""",""""]}","Skipping creation of restore point (Process = C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv; Description = Windows Update) as there is a restore point available which is recent enough for System Restore."
